name,review,contrib,humanized_timestamp,minires_images,stars.label,stars.value
baim Journey,"One of the tourist destinations on Kumala Island, Tenggarong district. Kutai Kartanegara which provides information about the customs and culture of the Dayak tribe as one of the ethnic groups in East Kalimantan",Local Guide · 99 reviews · 400 photos,6 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdk2QkFOv4aJPxqT82YAEVoWhM7He6blzcCrYw8xZMrIYw6xFXKYeq08J1YmSvYtw6nFlZXIz24ljxMr-idcYHayzl1jxy3icIAh74DxLpItuf265DuAAASCb8NWYW3T9rw8Szs=w375-h563-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdl2Hh5lP9wS6ZaUT48jhyakifMUvzmQA1QXp7g1sWHXIfkPIM9wH5d5boyLHh5Rehv0O2YDXDVD00B5qOnmGwlttizC-A56xGffvSuCvYs5QDzEPfL4-QZZFAX2EZLIgZEx1Hd5MQ=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdm6uVhufdBFxgpU-kP81ZkxlV_YEIeiBzA_q8cZ0UCvTpM2lV5eySHvCRYUnpslfry7F73LB3b7l7J-euA05xtv2BNiB_xKYz85Y8Rjjx6uXk0Imbv6H8_8VwGV-uFLvkeHYJA=w375-h281-p']",5 stars,5
Teras,"A unique and interesting island located in the middle of the Mahakam River right in the center of Tengarong and Tengarong Seberang, Kutai Kerta Negara Regency is called Kumala Island or Kumala Fantasy Island. What's interesting is that this island is specially designed as a tourist attraction typical of Dayak culture, which is beautiful and unique, combined with parks and green trees combined with Dayak reliefs. There are tall and multi-story betang houses made from native Kalimantan wood, namely ironwood. There is a hall provided on certain days for Dayak cultural performances, music and arts. There are also swimming pools, fountains and villas with good road facilities. There is a unique and distinctive Dayak souvenir center with a relatively complete variety. The island is relatively large. To surround this island there are Delmans or horses pulling wheeled carriages.","Local Guide · 595 reviews · 3,079 photos",4 years ago,[no_minires_images],5 stars,5
Oktoberianto Wonodiharjo,Hopefully I can walk here again,"Local Guide · 690 reviews · 6,593 photos",3 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdknVd_PqWo6fQTZOY8S0KRntrR3Day21rFDAxzAfRzIgzsODcoOEuuaHmw2lLEKbVLpueQAy46IkWEwjX1HjfHYs5lVHjJdHJG2NyAnPvYuYfnqhkZRWmEOfZhlXN_ORKVLFi-t7w=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdm2H1UwiNtSoL0QRQJ2LLVCxPNWewkcZAKxTbQ-7bjOvFwrt5HrwZyf1XGAzhTLRHE1JsemCAcbIpYLFfU8bY0nEQ2ey9FtkAMUHqFi1SzVX4GmzMSx8yHK2OY5IO_d0vHb0Y2V=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdk7BXf_d3NTwvat5fZa31i11dhxnxghvnVVom5sHN2Zn-kgVKoe5RP5guu-A-k5Q0ZnpOKadwqI-a2fMZKQLXa1GDZ-URgLoKmCtb2Kg9YbM4jRMjOw43Zwn18qdrIaFpEk5FoNLQ=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdna_4Ip1o8bnvDKaOlkO8jGxial-1dQA1B43PakDC2nMJfgSHn17PaNgzc2JgLHjHoKrrGcICfKRT04bRqFBBuyTx4Ds-SDcaN1NX6wJ5D9kqiQao4C_42889S-navE6Zlllj4=w375-h281-p']",4 stars,4
Gustian Garang,"Amazing... As a Dayak person, I am very proud of the city of Tenggarong which is famous for its arts and culture",4 reviews · 10 photos,a year ago,[no_minires_images],5 stars,5
Dodik mangun minaryo,"Spot on Kumala Tenggarong Island, a unique building but seems neglected.",Local Guide · 63 reviews · 93 photos,6 years ago,[no_minires_images],4 stars,4
kusuma prabowo,A location to get to know Dayak culture while touring Kumala Island,"Local Guide · 610 reviews · 2,563 photos",6 years ago,['https://lh3.googleusercontent.com/geougc-cs/AHRlGdkZMjc84G4CI8HMN9O6BFamF5_LbjXAEF4cjQiuMst2diwedb1HRl_HnCPGmqQfwCZm-spYMpsUmuw5Pry7vAc5CtORg1Ku5fqimhNtf-QU8S9e2m7TZYlnIa14YUrPkVHBFlPf=w750-h563-p'],4 stars,4
Kososi,Hopefully in the future it can be better maintained,Local Guide · 61 reviews · 351 photos,5 years ago,[no_minires_images],5 stars,5
Fuad,The building is not maintained,Local Guide · 131 reviews · 219 photos,6 years ago,[no_minires_images],4 stars,4
Christian N. Sema,[no_review],Local Guide · 7 reviews · 619 photos,6 years ago,['https://lh3.googleusercontent.com/geougc-cs/AHRlGdkbdo4ddJ8FaeNZ3nvVZuRx0NzG40HnyZI_65nhJZu6CFp6gTTH1eS6LC_O3LItEfHUwRc1Zn4qrMiuCbDWqCH4eO_vjRgF-zX0Is2y-vm7VD3-9t3QXU28BTVFEXBtG98hmSdY=w750-h563-p'],5 stars,5
林茂全,[no_review],Local Guide · 4 reviews · 82 photos,2 years ago,[no_minires_images],5 stars,5
Ko Aseng,"Come visit here, OK?",Local Guide · 59 reviews · 89 photos,6 years ago,[no_minires_images],5 stars,5
Roni Mdr,[no_review],[no_contrib],2 years ago,[no_minires_images],5 stars,5
faiz gaozhan,[no_review],Local Guide · 251 reviews · 249 photos,4 years ago,[no_minires_images],5 stars,5
Adam Fadhilah,[no_review],[no_contrib],4 years ago,[no_minires_images],5 stars,5
Bagus sugiarto,[no_review],[no_contrib],5 years ago,[no_minires_images],5 stars,5
Amy Arifin,[no_review],4 reviews,5 years ago,[no_minires_images],5 stars,5
Hdr Kmz,[no_review],1 review · 14 photos,5 years ago,[no_minires_images],3 stars,3
Gie Ardi,[no_review],Local Guide · 3 reviews · 3 photos,5 years ago,[no_minires_images],5 stars,5
Wahyuni Harliyanti,[no_review],Local Guide · 2 reviews · 1 photo,5 years ago,[no_minires_images],4 stars,4
Ari Purwanto,[no_review],Local Guide · 75 reviews · 34 photos,5 years ago,[no_minires_images],4 stars,4
Biji sukun,[no_review],1 review · 1 photo,5 years ago,[no_minires_images],5 stars,5
Is Andreas,[no_review],Local Guide · 29 reviews,6 years ago,[no_minires_images],5 stars,5
willy ryant,[no_review],1 photo,6 years ago,[no_minires_images],3 stars,3
Ceka Nizzu,[no_review],4 reviews · 11 photos,6 years ago,[no_minires_images],5 stars,5
A. N. M.,[no_review],Local Guide,6 years ago,[no_minires_images],4 stars,4
