name,review,contrib,humanized_timestamp,minires_images,stars.label,stars.value
Mayong Mayangsari,"Kumala island is one of the famous tourism in Tenggarong. You can go around the island by renting a bicycle or take the mini train which free of charge.
You can find a Kalimantan traditional house and the crafts. Everything is ethnic and beautiful.",Local Guide · 90 reviews · 274 photos,a year ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdm5H9SIU_D9tuMLnlzz9cnMeeg-OTanHns01ZBaK4UsAExGUtJFEZchKxOAIkRupK-QmVjDKRKNtD3OHJGmknK8LnO8iQsGNn9CQsbMNPFWK0_2M8ucGHGfmU7s_CbuINpZJ3n-hQ=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdmZhbpx3HBmgvK3lvUHISyB3BbR82v6P7roxV1R_grxRHBZY-EqSgg9zmXMNWcsL5PAeKZ7OR0z8qgFe-SKNfsAV4AyqXSSt1owfHtOjvIbZEKT3I2KJHGkZZwcD91lXVd8uu9u=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdlt1xOLCEm87pS_or1JG7tQAPmse4mHm0yThgm9Y_eSfGKOM_6eanioa9DaCwAODmY7bjVyBTJDpb6vftBvzi_C5rO_e3V1ncXxo26QpmOMgKbK9GTO6s8abSWUhf6ji9Ncyw4Q2g=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdnCOkeyg8v1c3wkodrI0V_H5MmXxPHugVqiGI9k598wV-zno4vTWZgEPkioEC-AbA4_YMp1YDUJtRyJhS4n-mmJkzOe5jnr5t6G_QY75-oTS-Ipo3zLjtGwcAIu0T5YY5YjFVY1=w375-h281-p']",5 stars,5
AGHA,So many spectacular views. Love the Kutai Kartanegara Bridge view so much. Too bad too many abandoned buildings.,Local Guide · 345 reviews · 829 photos,4 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdk3GocuPscXdz2sOzKhadk6m3IuyRp85Rv8P5TDhUOsPHRnI6-DT_N0bkTN2YwfRlhohnd-hNinPzrxf8IiFQAPa20cMIixEFAVO02MtofO_g0FeuhLElJ2lFIOpqJYmysQd0s=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdkLQ5_zzmCf-wRhwHi_YRgSVHjBTN1xNxsZ8_rKfI_u4zH3pDWLDbDZW_1i7RaduseuDeTS5jgJl9DvtGU3bMJDSZqbW_Ib7cj8ErzVZFbXfdEnPx22lmAR_22fioPVM9LvsnYy6Q=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdlWar09aZM2Xux8OaWmEiz1AAmH6VBu3N7qb3Onh4gTR5oxS9vO-8PKNE7jaZwhGFeVPed5MRgeqmcXw0wTcIdZOa8QBpKscZjNbjWwXQHc65qeVEHs0No7MA4ivDzhWRVB6Rb2=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdn4AU9qwiGRlhIRjaRqP5wC97E6IjzvjHauRKmZYNoUUCAaoiBSSkMssJEgqzaUc-1AcvvCq7HPnHkE6T2JQp5yn31vVqVzA06nkseTf3A8wfY5ZvV8gbnC-oDeP7kUdXFcbYx5wQ=w375-h281-p']",4 stars,4
Darmawan Batara,Good and Recomended,"Local Guide · 756 reviews · 2,119 photos",7 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdn9I48o6huzXAq4XMs8GvWkEWTv41EdEfwjHhzLNwUdy6lLOPfMm9AQ6Zj6cW31_wf-hDPTYKYN-CYny6-RC6T24eIg4sdWL9zuaGDByMMwdOmXZLbBkoJwUqjeL0K3A62F3gKj=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdmC4Ga821IgNZdyaDx3eQGhS-zRXTnkYt8spALc6iVDOMHwLabMr3OBzSK4HyQsNmQyDHnVrBexlxbmt07_ZW4UBgH6Vd64imdcEzBDZoCWY6D70h6VYq25p_lPmFpc_CeSCwSG=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdlkFHfwXBSxPuLAgO0NF7uXf4b2TKSYGl3LfS7oUEePAKCA025_YEaZ_m7-Hjq7CnVtkmqlFvvmYFjhT1NEnvdcI7I5BQrRJxkgpJuTEEQj1XwHdarW9jwmueTwmPi4Nx7f5hmrAg=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdmnhcrMGzZGqNG9TVk1GfjL4Bzq08v_RXWn3W8lNou-YSxuo8iWsiFgqFtTQfVkxKZBRYgkMD972fUD--BiYbIB2QKM-DhYi2SU8irCssk9p3_EW-upeCjGocxhX_kihDbi1ghY=w375-h281-p']",5 stars,5
anglin maharani,Nice place but need some restoration.,Local Guide · 180 reviews · 225 photos,4 years ago,['https://lh3.googleusercontent.com/geougc-cs/AHRlGdkV2yMFDtUN7MrXpd90W3vfgtPYNqhg2sdAYRyyjOdfuBmVTnmESxiwCcON-_Ue-tV6QkWlyQyaKOoq4h69sTgTOsLNZKd_4aSrhKnyCFO2OvX49m2W8RpJZ94k2f9Vo6me2jQq=w750-h563-p'],4 stars,4
EKA NOOR,I love this place ❤,Local Guide · 6 reviews · 49 photos,7 years ago,[no_minires_images],5 stars,5
Fatimah Rosyidah,"With a ticket costing 10k, the place is suitable for relaxing and cycling because it is wide, there are very few spots that can be visited and it is poorly maintained. There are bicycle and motorbike rentals and transportation for groups. For culinary delights there is a food court with local cuisine, buy chicken soup but it's too salty.","Local Guide · 214 reviews · 1,569 photos",11 months ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdk5kJ2lA7O8bUZGQKK4Nib6kzuqPc7MATjHzfatQRT-EPNvjJVdLmxEJfGmewVRLWdbnpMfq6w-vf_HBKBgvkJfnuS_iSwg2n04neCw4wjTjr8nqS-N_oqZBNAv3pYk4atvOBJGrA=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdmS9r22zP0vinvdpnuP21tf4rnET37PKrAcbONRxKF7pmYRRVFx3Iou1IEVZmWaKK-Ectm5Puui1Jp_HY7jenWfmg7bmuFQS4LoKjqRSFQ664wvQcOeKLCikX60pm98c2vLbOih=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdlt1N3TUig0zYamI8GZ_vJ-oFU4HX5DdEwqg2patZYq3ZGe2BuqdVHKaVAvHwC4lWJ03fHiXaa2XZd8Kknl3bMKT1chfNg2pU0VhKq7lzGk5tHsepRnjvZIGd4514tZfs7ozjNg=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdknK2dSPpKEvutkioYbSlelopDENrWOfuJ4vzXSOK2GoSPsz26_uJ10gXoXIyceWWMX1wPJ7yE_PGViwMTGNpu5MLtXFBEmvjXIxwOuW3FmrUDhHNEnZ0sp0X6xDEk1izpj9x8s=w375-h281-p']",3 stars,3
Aulia Rahman Maulana,"There is no need to hope for tourist attractions that are not maintained. Entrance ticket 10k, there is electric bicycle rental 50k/hour, train car 20k. The culinary there is not delicious, it's expensive. The soto soup is really salty, the vermicelli is still hard, the price of soto is 15k, water is 5k, orange ice is 8k, total is 28k, right? So the seller calculated a total of 37k, if I don't detail each one, pay the 37k. Hadeuh, learn to count first, culinary team there","Local Guide · 216 reviews · 2,963 photos",a year ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdmZprRpzX33gDPqtF2ZNZ5swfAqtaI8y4TgFLDew5GjN9YbnnxwGCTvMXKw6HJ3gNPIgu2DgzyxJEvIA9Ozic4uCLqulHap9zOBUKzAgwxJFmDzKsS511tE8ap6bZnN6SM7jPVXnw=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdnZugz3LM8t7ZzkztL25Grd3wLF9AQ7aHjB1AUVPgyvWWno1QvJipD2y7vZwTK4a4czdLmTGpxAldHueA9NkrJ2gIfz_0s6Cl9FwZQe8_SW4PvMspVuJDWaVV_cTJTfWK5xYdnM=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdnRmgidnxwWfcZ9k3UoavvzHqsqtqNZDWWZ4ZJpoHpHsdfbOtbjyfPmKn3CoZ4eUKvZfz0bN1-WNIT6GbViHvGeyL2jj8xvqgIDFrj_gRha2GLaLLHjDoSTxLPqm6voxDADoAJPzg=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdkAo4_C1GPUvZqeV23z0UgmVkSoiOtJSEGEo_DA4B8DGlDM7eg099BTg8pPsPHz2b7Q9owuEIHQkktqf6iee04ZEcOo60cq5TVZ3hODLzYP6ia52_eO2S3azZA65FlY1XUU7ml1=w375-h281-p']",1 star,1
NURDIANTORO _,"It's a shame, the place is beautiful but neglected, there are lots of abandoned rides damaged and weeds everywhere, even though it is one of the tourist destinations in East Kalimantan",Local Guide · 25 reviews · 82 photos,a year ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdkDibxsgfW10PaYhaKuQcjDomd4-YApCKCevpKoLIIFvzVbtgEzKzchNTqxUYS1zQ_bey7vLEKCFvsZ3OSXTcCtW4jyM10iqPhTZUVUoHifqsrpiHLyhlQ4U3j0qOBVlxMlqs5kKQ=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdmM2u4JtYXbwqa0gGzZSd__7_dU3Tb-UHDBCOhjp2m7qUERuAeFCkotgfk9C0n9cb7gtFDl943tVrqoXKqmEfrH3NrUOc_DKSjTw-JwBRtAMaCvmMw1D0N62KKllmGtRt1JvfKV=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdnVxomPIoUi0m4Fob0VLhwR_Hi9RzI_lVOnU7TwZIBMj1Dc_7T6jgIpZB4IyYb0pNs3pd2_enyuDLCOp7CZj896fWmBJIXH951Qu5PNc4K5lHmdmnIGfm5GcOeFhYqMZBnYOy0utg=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdkCUrts5vxjkBUSHEUoKKhv25QLirQSGDcikUJlDGQIIPDonfW5oqlsNKBP2vvJDDfJljBJQl6rrMgapGF_7B-RSeAVgmz_I1QjtDOlkuHnZQAmi7nYiSWdXyYti7iM-QqOP_u5=w375-h281-p']",2 stars,2
Dewi Annisa Mamaraffiyya,"I hope that in the future it will be better like in the past, sir (the late Syaukani) because I can't forget the beauty of Kumala Island when I was a teenager. This is a children's activity at the peak of the theme of getting to know Kumala Island more closely. Hopefully all facilities on Kumala Island can be maximized in the future.","Local Guide · 95 reviews · 1,555 photos",5 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdmwrh3cPi8r9XTGRpqfWke3AiNs1Ddv6AioW3sM8enFsFQ-v_dVf6f4NWJlBeK6wNDMfOaCcxryXTYqPRnqACt26zpmo3bIZUPiPwGvf0s5iMC2VjymDieuBwsiQ73rON9N154=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdlSpUntij8vdeIr31MEggeJtKzuHzH-E1HN8pChTFSby7AESNQiJZllVTKf7nKGxCHIN3hxF1TlBQyhBGKNtFO-EVCr-Aade_TIYj14rxDfGSIC5a_xsxvfNYq2EYfY-juceNj2=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdkw535cBFNdmqb_bonsg88zOgDrfMUOmO2He0etljh_qk9XiCkS5eaR7T6yqqL0C6143TnlaJOE7ucFKAgFr8R2SpbntJ5Bn6DwffNDRettivUEhvXkN_4vRF6SJpUi5mclKHeN=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdkDbvex1Tv6_2LXkGNjru8t4JkfLrk4FU2cEtWZtNmL5xDGdUIcEgL3U3oNV6Ft-LmM3uCtG0sYFDoTwpylxgtvEFnChIqvgCgtoWHtGOGss3FyVX0Cry_GBhgThgLbKYBJc1FT=w375-h281-p']",4 stars,4
syifa fauziah sofyan,"The place is actually really nice... if it's on the island of Java like Tmii... but unfortunately it's not well maintained. If it is rebuilt, this will definitely be one of the must-visit destinations for tourists 👍🏻 I hope the East Kalimantan Tourism Office reads this 🥰❤️ 4 stars first (if it's repaired it will be 5) hehehe.. …",4 reviews · 14 photos,a year ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdkbhua0IhRP5k6KcczRg65Vt2zVgGZnDrjQd29bOd9uQHrC0RWNnhEblFPxnypgZUUaPpxYunWT_dy_sNU_2B8DzIgrTBadvGIYEWVX69bI1yVvWqVB34Q21LlX-WylCsG8C3C8=w375-h563-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdlBKcrr7_o5BM8PQ-TzBXQhhohDMEhp_k6zqQjCf8TjDOPfpA8PNdEkHwf7hdj-NmPwLAeegLwS9eaiazGaHLXudqI5O2wkZVE7AqXYS8w89Xsu0alHLqSEdpB0MkUA9BuGwwhB=w375-h563-p']",4 stars,4
