name,review,contrib,humanized_timestamp,minires_images,stars.label,stars.value
Dearma Silalahi,Yuukkksss... You will get a beautiful moment here 🔥🔥🔥and you can also recreation with Fams 😍 not just with friends... …,Local Guide · 33 reviews · 73 photos,6 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdltenaQvjsGq-upF5iibNfK7PVT44zBSAEcIQ4R6zvIAtxloICdAK5YddJScofJ8XvNojvArUj985BLCzAnys8sz0AKqg56jCDFQHfHcrjBBh7O3DGHgNR1KxhvZYVYb16_aFHp=w375-h563-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdmP87_6h4vs4CW-vWx96jY62IqVJWSuAZE8phc5bkn291aBjsprUVOqY6NpEKp4WxzPK2sZ4nhRlPdOVHqJ-gqh4AYH9L7eYv2VyuMnTQ66ifPdQP2wIHecmoUl5KmNZM6hxzC3Rg=w375-h563-p']",5 stars,5
Muhammad Taufiq,This place have a good view to take a picture,Local Guide · 53 reviews · 11 photos,4 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdl_llnaZ6hn2l3Gv9PpyrOyIO8V3M4OORcR985l6dmhygX0rdKSdNMDflRFidJTuWnHSPU42q3Q3RAPdfD6pil6xBxJUZvVHySvNHnQNGUDlW7kQwBjS6zPl9Vzt4B5HLXLZxE=w375-h563-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdnn6x8vVfHuKqk-aFaYhmsBZfck1j99urtHAm-Xn1HsuYrZZYlY3-UaxMLOUzmWfWI9WTcoEKeJexzA2wFK9b-Q8UxAVlXWPj2AqWeo7-DU7U-wyWGN0_Fs5BBiK8mTZDRQkzM=w375-h563-p']",5 stars,5
Susanto Thomas,Its actually a good place but now it isn't used as its function and also many of facilities arr broken because there is no maintenance at all,Local Guide · 13 reviews · 40 photos,6 years ago,[no_minires_images],2 stars,2
Renata Munthe,Better if there is a flower park,Local Guide · 88 reviews · 49 photos,7 years ago,['https://lh3.googleusercontent.com/geougc-cs/AHRlGdnan-9yTIG0kXjVj9UL5RJ2C2wkqSXbjQAPeeXBAeNYeH9zG_SgUTV-Hc-bAVSPUzkRAs8vmhl7zrteBV8zraDdr9aE7gJGPoTtt7FpuW6-o8hrXVies6xP8fhG5ntaJwkRxipx=w750-h563-p'],5 stars,5
Dippa Sentika,The Best view,Local Guide · 21 reviews · 17 photos,a year ago,[no_minires_images],5 stars,5
dewi lestari,Good,2 reviews,5 years ago,[no_minires_images],4 stars,4
Suzie Herlina (suzie herlina),Fascinating place,Local Guide · 42 reviews · 16 photos,6 years ago,[no_minires_images],5 stars,5
Arunayza,"first time here, not very satisfying because many places are not maintained, it's a shame, maybe it's under maintenance plan... the paint for the dragon statue has been updated",Local Guide · 19 reviews · 65 photos,a year ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdnKZLbA7gCeMilfG8kLvn7UVAchVRLPl7W5TZzuxsrbKleOKC8tIkUeb3u9R_SyMl_cr-I_q0N7koaxmczUS09XMx48pQEoQORio_nO9oybWkvy1TC4IjsWd64l2yefpSc5LoWsKA=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdnE0fOfYdG_K6KytWOwUi_Y2c04Rr8Z7ppwJ_raKIOzAd_C27DVz1mJQWHC0X4MLEftARKGdwRB_QHdjoWtVWS7RajGchwQXAjGTbDeePrDFpXEZQfhjD6fH4TURWCS__gD2U25=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdkSheqhvTAmZxk-7_PheaVUW2J2J2bRF_Ceb4iuUbYuBkIyh7oIsoZd0wC9fug9a7-UvklEJlUob7XvFdiVikCXQW4u40RVE_jykWWiCWPybt76lDrA7H5V6rea8RRyod6Oum_65Q=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdng2CIV_6C6VoXW5c2SuHnlpcq7DqW2hIIreNg47hJUKf_35VuKc0CU-XkXkl2UNzohVSJP9hXhP2ecPiRrP8lBcTfp5A6cdFAjnfOPieHmEAGOh5kuUXrSce74VD4erVYO5oY=w375-h281-p']",5 stars,5
maria dk,"It would be very good if it became a well-maintained island. Went there during Eid al-Fitr, so the gate was still closed. Even though it is closed, there are boats ready to take you across the island. And his father also wants to wait, 1x 150,000 laps from the dragon pool to the lembuswana statue. Quite good at that price during the holidays. It's just a shame it's not maintained. So it seems scary. A mossy pool, clay grass that has been left alone, a statue whose paint has not been maintained. The uninhabited buildings add to the spookiness of the island.",Local Guide · 118 reviews · 68 photos,a year ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdknf-q_0hLSQ8xdtp5mP_XJ-s3FlFItJeooUvmSMbNV-nm0jdZfm2vCAhrLnVije8ZX8OM1TQKVgJzotUO9XEdAVLbbLe_6CZCpbYQMI5yClxnwHF_VcD-wC9bAFijbqEfKA2oz=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdnt2pppdJ3D__j2BzAd2PfBadRUr0L6R97mcRJpfkVJzrUk5YerwE85_jT1vYM4jAYXPxWlQZhakqESoEQqpRpbnO84HESwtH3SWdZqLD5hpbhbzrceiOnxtzzwfagiKcRJ1ifj=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdmIUKriW2UB4WQl-ArdMcwzpmAdTuJA6S4ojsPIF58ExCV9P-qhpKEV821RFwjQ33Uz971t27l93NpCbcqpWo8lAjctSrBaYcCW5dL1rNyLysRS3DEYCGLFr81S-T1HVgyxM4jwnw=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdkj7C4RKcy0Xj0ujQ4z8XEiRtTfHAgXeb-IYnPUVt5nTvJ6LTZT7uYgbnU7tkWbHxXNwK3TM9nB0FDpgkTqg3EVp-e75Gn800V3qVqpitipEyXW9Qmkw3AR3-dvJZKYDUhewsa3=w375-h281-p']",3 stars,3
Oktoberianto Wonodiharjo,"There is a lot of rubbish in the pool, keep it clean and hopefully it will be better","Local Guide · 690 reviews · 6,593 photos",5 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AHRlGdlW5ZpXUzL9cYVyyw7Ch-xUUcSOQyYsXvcCqRYGshMaU39V-zBvdx_SozzntK0OJ92zvR9Ih0RE9zIunBvdtgi17_WH9BLRnHSuzotG5qIV-to4-DVKnPoyyUsMAkYMyJOjXAHq=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdkFP-vGuwJGKawYXW3uApz8PyvizkDyI-5cPLzwKB7IxkGViwm2qouCXTSfBSgcQ35XvYw9SFFiLxlFWLDA9FBmhdtc3_T-joqayprSomvLOswLIoCcLU9jCGn3ZmFqceVsRYc=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdl_jW07HGYJIew8M7PreLM3DBA00wK8ldIKfLTE0PPg6DEjkE4_AR8Fp9RXGnEYPFbn4P3nxE2p4jqeV7jSeuKPusOn9zB8nxR8vJzhpHfreyPg0pmdb1UTzwOUOSBzxE5L_p9_cA=w375-h281-p', 'https://lh3.googleusercontent.com/geougc-cs/AHRlGdmyRBhQw-TVU0Kkrfcs6ii2zgMLeq9RJocvg3NV_FD5bWKBavMxGOJ0WTrC7tJTf-JGZVS58vyefUafetM6WXeg_WycDmetuwQBkKE9-Yc4FZuAh_-aMH-GyvzLQ0lMITwFb7zkbw=w375-h281-p']",3 stars,3
