name,review,contrib,humanized_timestamp,minires_images,stars.label,stars.value
Seto Danu,"This is actually an interesting place to visit because basically this is an island in the meddle of huge river.  in the past, you can reach this place by using sky train that cross the entire one side of the river for a hill from afar. Unfortunately maybe it is true that it is a bit lack or general service and maybe the location of this destination is far from main city so people need to plan if they just want to visit this one. either way, surrounding this island, you can find other historical palace as well. So, this island can be a good bonus to explore this area.","Local Guide · 286 reviews · 4,305 photos",3 years ago,"['https://lh5.googleusercontent.com/p/AF1QipNZQ4fC41-Nf8OpRVPSAN4uJkaIUYJ2FY5B64_6=w375-h281-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMO79Agp3KQlBnvnfraVPeFtOP6JoACTRyJYozk=w375-h281-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPsVCvzseVO5AY0o1rx576NuqzJYSyWhPsHZsgN=w375-h281-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMBXA1MghFuwikdHZX1XLL6xG36DYbaopzrPcgT=w375-h281-p-k-no']",4 stars,4
Icha Sumukti,Amazing 😍 …,Local Guide · 51 reviews · 103 photos,a month ago,"['https://lh5.googleusercontent.com/p/AF1QipMhLMfGKlZyCbiFUSE8UXZm9bPz9NV72Y4RIcZg=w375-h563-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipM2QyL6Ez9dyqGSUK3S3EiwGXFGoiDSXxS-Yx6c=w375-h563-p-k-no']",5 stars,5
Ade Junaidi,Magiciclly mitch,Local Guide · 129 reviews · 218 photos,5 years ago,[no_minires_images],4 stars,4
Kelana Pulau,An interesting island to visit in the afternoon. The LembuSwana statue area & Kumala Island landmarks are the most interesting points photographically.,Local Guide · 217 reviews · 724 photos,11 months ago,"['https://lh5.googleusercontent.com/p/AF1QipMBd4UAV_a3of5JLZpxDQfkQgslQtVkXj7Sx-UT=w375-h281-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPrEr5D72bz2ADuUSarRXIt5ouNVdLoCXiK3ESK=w375-h281-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPQt4_8iNPbUUFSdolXsn-_p6hn6ab6OGcId-Ck=w375-h281-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOL8PSeMKAHepMFeay1FhSb5jGBAlSAow0YyM_n=w375-h281-p-k-no']",5 stars,5
Haryo Mukti,It's a shame the place is poorly maintained,Local Guide · 103 reviews · 109 photos,4 years ago,['https://lh5.googleusercontent.com/p/AF1QipOe47yWky1WZ6136RZM9M3J20hH9CpjIODg3jgj=w750-h563-p-k-no'],3 stars,3
Kurnia Setiawan,"This place is very interesting for tourism..
However, cleanliness must be improved",7 reviews · 5 photos,5 years ago,[no_minires_images],4 stars,4
Tech Studio,"The city of kings, suitable for traveling with friends, family or girlfriends",Local Guide · 31 reviews · 55 photos,5 years ago,[no_minires_images],5 stars,5
Mata Angin Vlog,Including the historical part of the oldest kingdom of the archipelago.,Local Guide · 128 reviews · 97 photos,a year ago,[no_minires_images],5 stars,5
Sukirno Sukirno,The legendary Tenggarong city icon.,Local Guide · 76 reviews · 2 photos,a year ago,[no_minires_images],5 stars,5
Ardhy,[no_review],Local Guide · 16 reviews · 48 photos,5 years ago,"['https://lh5.googleusercontent.com/p/AF1QipM5PtGzY0AizdF64RTFw_yh6CLCl5ybxZxg_XUZ=w375-h281-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipM1Ju_PwEsXcmA1GUNVxxtFnqecqGVYOgLFe9n-=w375-h281-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipN4-xRhGrYPMTYFv4O7G3SPDzi6-vyE_PmQlF5q=w375-h281-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipOrZA9qV6wG8vhUb7kifYL3Kst1OiIeRftFrgI9=w375-h281-p-k-no']",5 stars,5
Kawi Boedisetio,Statue of Kutai Kertanegara Emblem,"Local Guide · 4,600 reviews · 117,635 photos",6 years ago,[no_minires_images],4 stars,4
Bambang White,[no_review],Local Guide · 187 reviews · 478 photos,6 months ago,[no_minires_images],5 stars,5
Lira Yonanda Harahap,[no_review],Local Guide · 6 reviews · 47 photos,a year ago,[no_minires_images],5 stars,5
Sapri fiverz,[no_review],Local Guide · 9 reviews · 46 photos,4 years ago,[no_minires_images],4 stars,4
SRI SULASTRI,[no_review],[no_contrib],5 years ago,[no_minires_images],5 stars,5
Herlin Sofrinda,[no_review],Local Guide · 21 reviews,5 years ago,[no_minires_images],5 stars,5
chai siswandi,[no_review],"Local Guide · 417 reviews · 2,333 photos",5 years ago,[no_minires_images],3 stars,3
Darmin,[no_review],Local Guide · 52 reviews · 15 photos,5 years ago,[no_minires_images],4 stars,4
Rahayu Pradita,[no_review],Local Guide · 37 reviews · 20 photos,5 years ago,[no_minires_images],5 stars,5
Burhan Kurniawan,[no_review],Local Guide · 82 reviews · 933 photos,6 years ago,[no_minires_images],4 stars,4
Sungkono Kono,[no_review],2 photos,6 years ago,[no_minires_images],2 stars,2
Ricky Hidayat,[no_review],[no_contrib],6 years ago,[no_minires_images],1 star,1
Rhizka Intania,[no_review],[no_contrib],6 years ago,[no_minires_images],5 stars,5
Rafly Amanda,[no_review],Local Guide · 17 reviews · 25 photos,6 years ago,[no_minires_images],4 stars,4
Jeni Meilinda,[no_review],[no_contrib],6 years ago,[no_minires_images],5 stars,5
Indra Praja,[no_review],[no_contrib],6 years ago,[no_minires_images],5 stars,5
rahmani aman,[no_review],1 photo,6 years ago,[no_minires_images],4 stars,4
Eko Prasetyo,[no_review],Local Guide · 1 review · 21 photos,6 years ago,[no_minires_images],3 stars,3
Azka Nur,[no_review],[no_contrib],6 years ago,[no_minires_images],3 stars,3
