name,review,contrib,humanized_timestamp,minires_images,stars.label,stars.value
Yoga I. Purnama,"Visited here with my wife around 2017 when I was working in East Borneo. For Borneo outsider like us that live in Jakarta, loved to visit there. It offered another PoV of Dayak Culture. We drove around the island by renting the bike. The place was good at that time but not really clean.",Local Guide · 21 reviews · 4 photos,2 months ago,[no_minires_images],4 stars,4
Wira digdaya,"Come visit here with your family, a safe, comfortable tourist spot with no extortion",Local Guide · 58 reviews · 69 photos,a week ago,"['https://lh5.googleusercontent.com/p/AF1QipMjlm4jHL1S-cQO25REkvU26t7LtJlhqAz_k4Oq=w375-h563-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPL4Mmz0nlZBZSuqo8I5QdV_BYa4TxyGIrrc6Hk=w375-h281-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPls9kUQWxEsLUlgATLi4e0kvQ69unkTYnaN290=w375-h281-p-k-no']",5 stars,5
Jenifer Silalahi,"It's a shame that the small island of Kutai is so neglected, hopefully the local government will pay attention to maintaining this island.",Local Guide · 28 reviews · 114 photos,a year ago,"['https://lh5.googleusercontent.com/p/AF1QipNZvflgSbjHtHIYKelcPjsIvjpB1wV8AN1wSqse=w375-h281-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPJBbYmOzUna9wOWmf_W242AnXOpMJRj7_-TMq3=w375-h281-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipPLRg_Q4PBoVwpVZZBwT-6dPWdvMyf2hb5C8F9x=w375-h281-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipO9A_llb_ujnmQWR6A09UL39rOeI_-1zAQ2jm0t=w375-h281-p-k-no']",1 star,1
Maeda Maeda,"The place is nice, lots of photo spots and people selling accessories and food, there is also a place to rent electric and manual bicycles, the entry ticket is also cheap😊",2 reviews,3 months ago,[no_minires_images],5 stars,5
Defadewi79 Defadewi79,"Even though the place has been abandoned, it is still beautiful and beautiful. I want to come here again if I go to Kalimantan again
Hopefully there is good fortune to be able to travel there",1 review,4 months ago,[no_minires_images],5 stars,5
Sigit Haryo,"The last time I visited this place was in 2017. If I have time, I want to fly again to Kalimantan.",Local Guide · 22 reviews,a month ago,[no_minires_images],4 stars,4
Syatria Adymas Pranajaya,"We ask that the authorities of this tourist destination pay attention to security, facilities and suitability for tourists","Local Guide · 450 reviews · 2,495 photos",4 months ago,[no_minires_images],4 stars,4
Jepe Aja,It's a new experience to be able to visit Kumala again... the rides are more varied.,Local Guide · 494 reviews · 34 photos,6 months ago,[no_minires_images],5 stars,5
Aulia Rahman Maulana,"There is no need to hope for tourist attractions that are not maintained. Entrance ticket 10k, there is electric bicycle rental 50k/hour, train car 20k. The culinary there is not delicious, it's expensive. The soto soup is really salty, the vermicelli is still hard, the price of soto is 15k, water is 5k, orange ice is 8k, total is 28k, right? So the seller calculated a total of 37k, if I don't detail each one, pay the 37k. Hadeuh, learn to count first, culinary team there","Local Guide · 211 reviews · 2,925 photos",a year ago,"['https://lh5.googleusercontent.com/p/AF1QipPJxn-TUDB0Azv1lJiJN4xHeQI5zmyq2AbQrpSI=w375-h281-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipP_bfW72_eUydkUuh5Vyvyt2mNFrRlkQn19mrRm=w375-h281-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipMmFu_MkApKuFJZi1kKdEM9viXOzA90Zje1sHk2=w375-h281-p-k-no', 'https://lh5.googleusercontent.com/p/AF1QipNoTY4E00ue6PcVWC0qix3GE-jG_UgNCDMeMFxj=w375-h281-p-k-no']",1 star,1
Deni Fadli,"The tools that are rented there are given by the bad ones, they're not expensive, but I feel like I'm losing out",1 review,10 months ago,[no_minires_images],1 star,1
Jun Back?,It's nice to just go on holiday here,2 reviews,4 months ago,[no_minires_images],5 stars,5
Puput Gabriella,"Nice place, really beautiful and beautiful",1 review,6 months ago,[no_minires_images],5 stars,5
Andi Muhammad Raihan,The place is cool,1 review,8 months ago,[no_minires_images],5 stars,5
Adrian,Good,2 reviews · 2 photos,a year ago,[no_minires_images],4 stars,4
Uti Sri,Want to go there again,"Local Guide · 146 reviews · 1,025 photos",a year ago,[no_minires_images],5 stars,5
mith twin,Good,1 review,a year ago,[no_minires_images],5 stars,5
Yardan Pirdiansah,[no_review],[no_contrib],3 weeks ago,[no_minires_images],5 stars,5
Said Ramadhani,[no_review],2 reviews · 1 photo,3 weeks ago,[no_minires_images],5 stars,5
Abdul Rahman,[no_review],10 photos,4 weeks ago,[no_minires_images],5 stars,5
Novia Wahyuni15,[no_review],1 review · 1 photo,a month ago,[no_minires_images],5 stars,5
Dusanto Ardanesworo,[no_review],3 reviews · 3 photos,a month ago,[no_minires_images],5 stars,5
Aryany Nani,[no_review],1 review · 4 photos,a month ago,[no_minires_images],4 stars,4
Juhri Pratama,[no_review],[no_contrib],a month ago,[no_minires_images],1 star,1
Athilla Firmansyah,[no_review],5 photos,2 months ago,[no_minires_images],5 stars,5
Sudarhana,[no_review],Local Guide · 23 reviews · 130 photos,3 months ago,[no_minires_images],5 stars,5
putu subawa,[no_review],Local Guide · 37 reviews · 48 photos,3 months ago,[no_minires_images],5 stars,5
PINKY EST,[no_review],Local Guide · 50 reviews · 13 photos,4 months ago,[no_minires_images],5 stars,5
Dian Nurdian,[no_review],3 reviews · 3 photos,4 months ago,[no_minires_images],5 stars,5
AGUS Salim,[no_review],2 photos,5 months ago,[no_minires_images],3 stars,3
Faisal Shortcake,[no_review],[no_contrib],5 months ago,[no_minires_images],5 stars,5
DedyIsmanuddin,[no_review],4 reviews · 9 photos,5 months ago,[no_minires_images],5 stars,5
Dandis At tonasa,[no_review],2 photos,6 months ago,['https://lh5.googleusercontent.com/p/AF1QipNYpacQxFF9hqXHa2-bSG5jZVQxmlTEaEe2x7Ib=w750-h563-p-k-no'],5 stars,5
Mula Diu728,[no_review],5 reviews,6 months ago,[no_minires_images],5 stars,5
Ridha Riansyah,[no_review],Local Guide · 3 reviews · 22 photos,6 months ago,[no_minires_images],5 stars,5
Iy ut,[no_review],1 photo,7 months ago,[no_minires_images],5 stars,5
Jamilah Dong,[no_review],1 review · 6 photos,8 months ago,[no_minires_images],5 stars,5
Endik Guide,[no_review],Local Guide · 60 reviews · 574 photos,9 months ago,[no_minires_images],5 stars,5
b duniaku,[no_review],Local Guide · 21 reviews · 168 photos,9 months ago,[no_minires_images],5 stars,5
alrys alrya,[no_review],1 review · 3 photos,10 months ago,[no_minires_images],3 stars,3
chalifa nr,[no_review],1 review · 16 photos,a year ago,[no_minires_images],3 stars,3
Kabol Kajate,[no_review],1 review · 4 photos,a year ago,[no_minires_images],2 stars,2
