name,review,contrib,humanized_timestamp,minires_images,stars.label,stars.value
F Rozie F,Okay have,Local Guide · 63 reviews · 73 photos,2 years ago,[no_minires_images],5 stars,5
F Rozie F,The place is good for taking photos,Local Guide · 63 reviews · 73 photos,2 years ago,[no_minires_images],5 stars,5
baim Journey,"One of the tourist destinations on Kumala Island, Tenggarong district. Kutai Kartanegara which provides information about the customs and culture of the Dayak tribe as one of the ethnic groups in East Kalimantan",Local Guide · 97 reviews · 392 photos,6 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90AxtozD6a5YUkVhd8LeQBiG68FWC4E8GMA0FVhLt35dGAedkPQppTGaVCisEFIQD4x7Zr52aKo3L_Jd3owAbupGz1H0JPNQRoYiUvgTK2CG8Vj_PcCgtCjKhcf_4M_HaUJmnIg=w300-h450-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90Bww0G5OK-9NunDAbbfYlqUnWXVZEw873kSKKaYsyl--yQK-Y6V3qCXFZi-X-Axfc4_Q0XYqjgz_FLkXFKxqxEeaO1aQ_ZARpTwk2_sjzSDPK2QmI2FFKz0ev0kP9RTHvl6EdzSHQ=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90A-AfFbn61ZOfRnpNmUNRePJV349RgpYqeYJl8GqxH-dxyxGuLc0ll_sKh8pfs-0oFBmSa-fwQ80uZP14obU8CIaTUlcwR9Sc05P9uaycezfAGr5p2s4EVPTrRbaoQ77ICM4Ms=w300-h225-p']",5 stars,5
Teras,"A unique and interesting island located in the middle of the Mahakam River right in the center of Tengarong and Tengarong Seberang, Kutai Kerta Negara Regency is called Kumala Island or Kumala Fantasy Island. What's interesting is that this island is specially designed as a tourist attraction typical of Dayak culture, which is beautiful and unique, combined with parks and green trees combined with Dayak reliefs. There are tall and multi-story betang houses made from native Kalimantan wood, namely ironwood. There is a hall provided on certain days for Dayak cultural performances, music and arts. There are also swimming pools, fountains and villas with good road facilities. There is a unique and distinctive Dayak souvenir center with a relatively complete variety. The island is relatively large. To surround this island there are Delmans or horses pulling wheeled carriages.","Local Guide · 537 reviews · 3,098 photos",5 years ago,[no_minires_images],5 stars,5
Oktoberianto Wonodiharjo,Hopefully I can walk here again,"Local Guide · 711 reviews · 6,719 photos",4 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90DW2mQXEXqmrYUaOjEMcPzss2PlqgxQbGd8YM_OEXWk1I2gL1IFY5WmC5SuV1tSzDpePCbUKGKN3Wrcn1N-4t5yR40oty9ZGeIsPhjAXUbOBykVKPccXZJWyvigmWf75ceF9Z3_Dg=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90AnOY7D-7YjTHGn-UWwAuVs3-QBMztvHp15hggZzlWSKMJkDCsvhF9YJlSiUHc4jJVRTWzQdVfXUoXESLxG63BhtIU0QYqHeo4aG0_dJtJBuY_IPpeAK0pLF19PA8tKk1p160J1=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90D52alqKZO4tbXUkxeS6EPq7PUnT5Vpw7Tm4n9sCQPhmZkti-6OwyzakONPzViNnZPonm-sctAKVL1ptQLMCbq51PTSyB92iw5urYBDaIb7rAYGAmCm-pIZcsi1_INoJ-tga4chMw=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90ATtRPInBRkAngUe1zGyBxs4BZImQc3MfXhYMmchYGSm3pF2iFSBvHLZcVIAfAiiOIKBp2m29ACRzkFT2xhvcx12otdEYB8AT-SC64CUFUUhrlJV8Tja9YHBbZ0JhMYrwOdROc=w300-h225-p']",4 stars,4
Gustian Garang,"Amazing... As a Dayak person, I am very proud of the city of Tenggarong which is famous for its arts and culture",4 reviews · 10 photos,2 years ago,[no_minires_images],5 stars,5
Dodik mangun minaryo,"Spot on Kumala Tenggarong Island, a unique building but seems neglected.",Local Guide · 63 reviews · 93 photos,6 years ago,[no_minires_images],4 stars,4
kusuma prabowo,A location to get to know Dayak culture while touring Kumala Island,"Local Guide · 653 reviews · 2,768 photos",7 years ago,['https://lh3.googleusercontent.com/geougc-cs/AB3l90DggHWylV8abdHIKdEkRFspQ6AYq1yw7QqW8IQt6ghXayr13IZd4kFPcu6ziuift_9bmNhlrp0XWRqEdAFysICzmW0g_VLXzp8UYpx-yhqSxDu8tfK_l9jTJ_80IAg72enVgcvh=w600-h450-p'],4 stars,4
Kososi,Hopefully in the future it can be better maintained,Local Guide · 65 reviews · 354 photos,5 years ago,[no_minires_images],5 stars,5
Fuad,The building is not maintained,Local Guide · 131 reviews · 219 photos,6 years ago,[no_minires_images],4 stars,4
Christian N. Sema,[no_review],Local Guide · 7 reviews · 617 photos,6 years ago,[no_minires_images],5 stars,5
林茂全,[no_review],Local Guide · 4 reviews · 82 photos,2 years ago,[no_minires_images],5 stars,5
Ko Aseng,"Come visit here, OK?",Local Guide · 59 reviews · 89 photos,6 years ago,[no_minires_images],5 stars,5
Roni Mdr,[no_review],[no_contrib],2 years ago,[no_minires_images],5 stars,5
faiz gaozhan,[no_review],Local Guide · 247 reviews · 278 photos,4 years ago,[no_minires_images],5 stars,5
Adam Fadhilah,[no_review],[no_contrib],5 years ago,[no_minires_images],5 stars,5
Bagus sugiarto,[no_review],[no_contrib],5 years ago,[no_minires_images],5 stars,5
Amy Arifin,[no_review],5 reviews,5 years ago,[no_minires_images],5 stars,5
Hdr Kmz,[no_review],1 review · 14 photos,5 years ago,[no_minires_images],3 stars,3
Wahyuni Harliyanti,[no_review],Local Guide · 1 review · 1 photo,6 years ago,[no_minires_images],4 stars,4
Ari Purwanto,[no_review],Local Guide · 75 reviews · 34 photos,6 years ago,[no_minires_images],4 stars,4
Biji sukun,[no_review],1 review · 1 photo,6 years ago,[no_minires_images],5 stars,5
Is Andreas,[no_review],Local Guide · 29 reviews,6 years ago,[no_minires_images],5 stars,5
willy ryant,[no_review],1 photo,6 years ago,[no_minires_images],3 stars,3
Ceka Nizzu,[no_review],4 reviews · 11 photos,6 years ago,[no_minires_images],5 stars,5
A. N. M.,[no_review],Local Guide,6 years ago,[no_minires_images],4 stars,4
Adi Pratama,A nice island to spend with family. They provide nice spot to take picture with the beautiful Mahakam river with the iconic Tenggarong Bridge as the background. You can access the Island from Tenggarong city by walking on the bridge or to make it more interesting you can rent a boat,Local Guide · 34 reviews · 73 photos,7 years ago,[no_minires_images],5 stars,5
Syaif muhami shidiq (Kukirakira),"Not properly maintained, good view, only few rest room available, 2 or 3 seater bycle rent availabe here","Local Guide · 237 reviews · 1,685 photos",6 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90Bi3A_9F8uA1w8QNna3e5K0n0pqOHlFEFOYfB9WJQgXrPgLl9jqlfqExQO2Qj6SFASDM-CXm7z-U23o0hegWe4FUIUtbjB__4Qw2GB0PI-FGa-vx6bjwc5DGCt1Obcq8z3NrdblUA=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90BZwIcaLvqifsrTZqqLAWOfLqtLCCmzH8e6Z9FHXYMMRwms8oIyi4aVIFBVQAKSikPAvFpgkUQmthfyK-oqd7IupdkdZc_WXFpJqH3twYAfHHHcGWkD9X2lO5mnvj9tOWqSPGhR=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90DOA0JhdQAEh7oyRAspdc5K4ecF9pRqZgUl6j-YAwNKxIqPtMK0VPZ04dQMQKO7Pny8j2OoKpGQPmlTinMiGq0kUb9kJcHHl74Ok9OliF1-7LkOacvBydQjtrL9T2D32x7wQZI=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90Ao5Cmn0ckMFgUVqY1BQmOzjfUBsvM37_zYS_4mxq9-6ttWWMh7n7eQMbGS7H5I83ySfWUNIuiDRl2KfqEaUda2uQwY111NixQWazr3Sz0bMLTNWHvrb0LY8xVgT-vbefJD0loI=w300-h225-p']",4 stars,4
Mayong Mayangsari,"This bridge takes you to Kumala Island from Tenggarong city. This bridge is quite long so dont forget bring a hat or an umbrella. But dont worry if you don’t bring it, you can rent there. …",Local Guide · 94 reviews · 289 photos,2 years ago,['https://lh3.googleusercontent.com/geougc-cs/AB3l90CoTLCnBv4xBftuOqr3m4hNJIR6HaIAd6589gB9pfzQv8oD62y5yKmzO31l15F8B93X9sLlMRj_fVlK8zHN4VwSQSmjMqKUSuKbO5lmxspwpZSE5x21jgGSqaFFHInCr7UyXuIb=w600-h450-p'],5 stars,5
Baizura Ali,The main attraction in Tenggarong. This is a walking bridge that connect Tenggarong to Kumala Island. You can cycling around in Kumala Island but most of the places in the island is no longer active.,Local Guide · 27 reviews · 95 photos,8 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90DBcsXirhycVXRzm6XNMvB79Ji7KG4AALlsrmpWWtyXSjfwQV-wY2tB5s9s7_6XWnSqo3cbmjElRZufHCAtASEGuFBFW9PRlBznidAfmBuINP8jpMITKQj5muMcfvzMJCmbYg=w300-h450-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90CslC3Fkbsny_ITPAXV-kESOk6aYLWUDimuVIQw_KG5pCtUCBW4k68Q1Gz7CWDQgA6JKWVQhaI-MobM0IpheAnC-qhBGM786nLs6GoNrOrJXtb1WQU-Y1RlSE0ovfXFsysh5M4pzQ=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90Dc_JrtNJlKpcbbYRjRJ6_OBCRiyDK_ffvHfZCoc8d-EA66bboBzFB00WD8soMOWndOW5uWCgPmwd1XbulGD9NXKB8v_B8rCPRDMkxjsXTYtDjSPcDDfV43zM-ysttv0HLk50VD=w300-h225-p']",2 stars,2
Anwar Effendi,"awesome and functional infrastructure to increase Kumala Island tourism, the bridge itself has aesthetic look, there is also parking lot if you wanna walk at the bridge.",Local Guide · 364 reviews · 952 photos,5 years ago,['https://lh3.googleusercontent.com/geougc-cs/AB3l90BbiLGjuam4fZYgH3FFG40DWg-VuPjvmDEflNAVNHLhy2Bz7ua7GcsUxBoIMt1rWSHwycbG1IQeX44fnwLrxo4081q-_4wSQ0GDFyg7Fv6ZhWIV-TlcXH4vnfCatwqH08fMxj1KZg=w600-h450-p'],4 stars,4
Andrew jaya Kantono,Nice weekend trip. Pulau Kumala has improved a lot. Unfortunately the kereta gantung isn't working and they still have the bushes.,9 reviews · 3 photos,7 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90Bf_43quscrBrl_qLprVL9dNHZj_MT5b3pkItEC9YakwOKkETJS-kHyFX1Q1v7pdkJeWZ1WWrXMtiVd3MN8r4tlQKOuQ5J8B96urY_J5sqHVxxmoF2QXKRoS2Xm4M49gOHZhhaa=w300-h450-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90BLxYM2mPpApfCjVMqb94YmPBobtRSEaS5w0ZgK6YLvfuYPQ5GOUo5vNaZUpxxw-o7RD0nyx6EfyZeMuAKqu4510eZjbkjC5W8e4IFK0WU0jq-UPpdT1n89eglKf9SuDxmgkVbd=w300-h450-p']",5 stars,5
