name,review,contrib,humanized_timestamp,minires_images,stars.label,stars.value
baim Journey,"One of the tourist destinations on Kumala Island, Tenggarong district. Kutai Kartanegara which provides information about the customs and culture of the Dayak tribe as one of the ethnic groups in East Kalimantan",Local Guide · 97 reviews · 392 photos,6 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90AxtozD6a5YUkVhd8LeQBiG68FWC4E8GMA0FVhLt35dGAedkPQppTGaVCisEFIQD4x7Zr52aKo3L_Jd3owAbupGz1H0JPNQRoYiUvgTK2CG8Vj_PcCgtCjKhcf_4M_HaUJmnIg=w300-h450-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90Bww0G5OK-9NunDAbbfYlqUnWXVZEw873kSKKaYsyl--yQK-Y6V3qCXFZi-X-Axfc4_Q0XYqjgz_FLkXFKxqxEeaO1aQ_ZARpTwk2_sjzSDPK2QmI2FFKz0ev0kP9RTHvl6EdzSHQ=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90A-AfFbn61ZOfRnpNmUNRePJV349RgpYqeYJl8GqxH-dxyxGuLc0ll_sKh8pfs-0oFBmSa-fwQ80uZP14obU8CIaTUlcwR9Sc05P9uaycezfAGr5p2s4EVPTrRbaoQ77ICM4Ms=w300-h225-p']",5 stars,5
Teras,"A unique and interesting island located in the middle of the Mahakam River right in the center of Tengarong and Tengarong Seberang, Kutai Kerta Negara Regency is called Kumala Island or Kumala Fantasy Island. What's interesting is that this island is specially designed as a tourist attraction typical of Dayak culture, which is beautiful and unique, combined with parks and green trees combined with Dayak reliefs. There are tall and multi-story betang houses made from native Kalimantan wood, namely ironwood. There is a hall provided on certain days for Dayak cultural performances, music and arts. There are also swimming pools, fountains and villas with good road facilities. There is a unique and distinctive Dayak souvenir center with a relatively complete variety. The island is relatively large. To surround this island there are Delmans or horses pulling wheeled carriages.","Local Guide · 537 reviews · 3,098 photos",5 years ago,[no_minires_images],5 stars,5
Oktoberianto Wonodiharjo,Hopefully I can walk here again,"Local Guide · 711 reviews · 6,719 photos",4 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90DW2mQXEXqmrYUaOjEMcPzss2PlqgxQbGd8YM_OEXWk1I2gL1IFY5WmC5SuV1tSzDpePCbUKGKN3Wrcn1N-4t5yR40oty9ZGeIsPhjAXUbOBykVKPccXZJWyvigmWf75ceF9Z3_Dg=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90AnOY7D-7YjTHGn-UWwAuVs3-QBMztvHp15hggZzlWSKMJkDCsvhF9YJlSiUHc4jJVRTWzQdVfXUoXESLxG63BhtIU0QYqHeo4aG0_dJtJBuY_IPpeAK0pLF19PA8tKk1p160J1=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90D52alqKZO4tbXUkxeS6EPq7PUnT5Vpw7Tm4n9sCQPhmZkti-6OwyzakONPzViNnZPonm-sctAKVL1ptQLMCbq51PTSyB92iw5urYBDaIb7rAYGAmCm-pIZcsi1_INoJ-tga4chMw=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90ATtRPInBRkAngUe1zGyBxs4BZImQc3MfXhYMmchYGSm3pF2iFSBvHLZcVIAfAiiOIKBp2m29ACRzkFT2xhvcx12otdEYB8AT-SC64CUFUUhrlJV8Tja9YHBbZ0JhMYrwOdROc=w300-h225-p']",4 stars,4
Gustian Garang,"Amazing... As a Dayak person, I am very proud of the city of Tenggarong which is famous for its arts and culture",4 reviews · 10 photos,2 years ago,[no_minires_images],5 stars,5
Dodik mangun minaryo,"Spot on Kumala Tenggarong Island, a unique building but seems neglected.",Local Guide · 63 reviews · 93 photos,6 years ago,[no_minires_images],4 stars,4
kusuma prabowo,A location to get to know Dayak culture while touring Kumala Island,"Local Guide · 653 reviews · 2,768 photos",7 years ago,['https://lh3.googleusercontent.com/geougc-cs/AB3l90DggHWylV8abdHIKdEkRFspQ6AYq1yw7QqW8IQt6ghXayr13IZd4kFPcu6ziuift_9bmNhlrp0XWRqEdAFysICzmW0g_VLXzp8UYpx-yhqSxDu8tfK_l9jTJ_80IAg72enVgcvh=w600-h450-p'],4 stars,4
Kososi,Hopefully in the future it can be better maintained,Local Guide · 65 reviews · 354 photos,5 years ago,[no_minires_images],5 stars,5
Fuad,The building is not maintained,Local Guide · 131 reviews · 219 photos,6 years ago,[no_minires_images],4 stars,4
Christian N. Sema,[no_review],Local Guide · 7 reviews · 617 photos,6 years ago,[no_minires_images],5 stars,5
林茂全,[no_review],Local Guide · 4 reviews · 82 photos,2 years ago,[no_minires_images],5 stars,5
Ko Aseng,"Come visit here, OK?",Local Guide · 59 reviews · 89 photos,6 years ago,[no_minires_images],5 stars,5
Roni Mdr,[no_review],[no_contrib],2 years ago,[no_minires_images],5 stars,5
faiz gaozhan,[no_review],Local Guide · 247 reviews · 278 photos,4 years ago,[no_minires_images],5 stars,5
Adam Fadhilah,[no_review],[no_contrib],5 years ago,[no_minires_images],5 stars,5
Bagus sugiarto,[no_review],[no_contrib],5 years ago,[no_minires_images],5 stars,5
Amy Arifin,[no_review],5 reviews,5 years ago,[no_minires_images],5 stars,5
Hdr Kmz,[no_review],1 review · 14 photos,5 years ago,[no_minires_images],3 stars,3
Wahyuni Harliyanti,[no_review],Local Guide · 1 review · 1 photo,6 years ago,[no_minires_images],4 stars,4
Ari Purwanto,[no_review],Local Guide · 75 reviews · 34 photos,6 years ago,[no_minires_images],4 stars,4
Biji sukun,[no_review],1 review · 1 photo,6 years ago,[no_minires_images],5 stars,5
Is Andreas,[no_review],Local Guide · 29 reviews,6 years ago,[no_minires_images],5 stars,5
willy ryant,[no_review],1 photo,6 years ago,[no_minires_images],3 stars,3
Ceka Nizzu,[no_review],4 reviews · 11 photos,6 years ago,[no_minires_images],5 stars,5
A. N. M.,[no_review],Local Guide,6 years ago,[no_minires_images],4 stars,4
