name,review,contrib,humanized_timestamp,minires_images,stars.label,stars.value
Mayong Mayangsari,"Kumala island is one of the famous tourism in Tenggarong. You can go around the island by renting a bicycle or take the mini train which free of charge.
You can find a Kalimantan traditional house and the crafts. Everything is ethnic and beautiful.",Local Guide · 94 reviews · 289 photos,Edited 2 years ago,[no_minires_images],5 stars,5
AGHA,So many spectacular views. Love the Kutai Kartanegara Bridge view so much. Too bad too many abandoned buildings.,Local Guide · 344 reviews · 814 photos,Edited 4 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90Bz_9ii0aKWtwzZhZC8WfU-eopcljBRcmPyZF8fGhAVk8okGy-YGwiGh05IfChF9s4a9jButidjlfqGz0Jj5Ksu2oYLYHmhI2VPvkkz3qPHNzG7Y8gnMw4AV7O1r9lHa_U0yEM=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90CiFjCkh7DbJEu-6mmmSuhFPz-K6j5hYyBAmwZie2sDbIX3ayt6-gRB9_bedI80a_RttHteKF4HM3OTg20kwsu8e6Pm-sq7wzjZspUx_O6rs29lZce3LDpiyvyvHH1HzKQpdLg16g=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90DQsgm7gT4j8dnIUcxO_vGp7oikiZWnHbFBjnDz11z2EEw1TtdnMxZL7rHH9GNI1J_O2sI7Nt25cxQIHXGk7EVDjOxfKX2tpcWRj3viPHxBmSMj7Gh5HZF1QyX0w5gpQz--C-bX=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90Bk-1AkHqfNbolIDNXvXv8aUmCwpaKacen3cPQjwPtp9wSj3T38C6GzEx3knOb2uMX1bKsdVUeTTo6q3lJvL4asxFm8ZnTbky9VQFFD5OiLIKlc2t1Tgn7stgWw7vSwrgaviq3L5g=w300-h225-p']",4 stars,4
Darmawan Batara,Good and Recomended,"Local Guide · 759 reviews · 2,117 photos",7 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90AXy1G4xVRCcXL2I0Y_t3NXiKuONcaoEqo6_kcm7r33_FszWQy3hHfXIYXau-2nsr6IfR5-HjpanwDBgzXwsP9zSeMpwWUlBl951ACw1IXdmmRV1NSd3mDa5bu3Iqjyi5MJnXxt=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90B5MrYmKRzsSTMpR2kpy8zlLfH2cGb32bYAtiTDJN-KiZgdebCnfMacFPV8YaMp6z9JtyxnVzWp-wj2yELFTYcrv-n3JKdk4ZfJqutcY4f0F__imDdMqovTzxgOfGsOMi-AcUS5=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90AZlvZFk2jeRP6PsmyydfPjeJ7RoHiE3kiJxB_J8sfeq7x-0rlge9wEGMX4M5GhlA0bF9FT4PLg7sCNOkHx1AotjwGbS_EzMyRVC4KZOgyhXJObQRIwnD10Pze4hnLmWCIVuaq2zw=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90DD-xT3BfIJJ7uoWEjrLVF7S7TuDyk4JRJY9vqrV5WIQqAD6gE42CDZFKKaJiICJFkv8qJcdkTWqn3XoiVNAgcgKKQPCOGb6ml8TQISWSGXoQ3Bph8n5--xCh7HqoB4kdkovDg9=w300-h225-p']",5 stars,5
anglin maharani,Nice place but need some restoration.,Local Guide · 179 reviews · 225 photos,4 years ago,['https://lh3.googleusercontent.com/geougc-cs/AB3l90DSLDWKNi0UAcg5Rabb8wuf7o73VpYKQu90ywn4KpKljJHXPV4Bz0r_UGMXzyzfSbvv5nWfDRULn3R0-fCu5sFO628TWKbH4JGQcMLUNt60KyNi-22DzCI-VGrjK9lOArZRAH34=w600-h450-p'],4 stars,4
EKA NOOR,I love this place ❤,Local Guide · 5 reviews · 49 photos,7 years ago,[no_minires_images],5 stars,5
Fatimah Rosyidah,"With a ticket costing 10k, the place is suitable for relaxing and cycling because it is wide, there are very few spots that can be visited and it is poorly maintained. There are bicycle and motorbike rentals and transportation for groups. For culinary delights there is a food court with local cuisine, buy chicken soup but it's too salty.","Local Guide · 212 reviews · 1,540 photos",a year ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90DcpyNmEiFvxqbdsioOHAiDjQnw69Gvsy2-kgYoFa1ZyOUa0M2D28acYCNr6LOWEyIiTJwQ7JfLYZgm2tlPz3hLp-zlkouq2UVlA0qqFd_izQ0g77Xfte1lKNhtS5irau19VJZbrA=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90C3FH3px2Ir_iowciTS2i1A2XAzUrMzSghKM_jkP_Q2EmXIIycNlm3HPyf2DLuiGFHSLiQnWsGillL35dnpdldib4_UaTyuHvhl1oqKNRQ0isDguQnxqaHDIH2ltIVLcVYBQP1U=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90CH1H6SmutYnZCtMiY0aVLihdOTJTwh6ylk9h8uHDezruyySfFyOVLVmdRmps-4CyaXYAjH-740HPkJZpiv0EyBogeLY_QrwUV4RlZkeu4RvjjxluK12CRUllAwJsZ86mpqIV5v=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90AuHrVLb0hDhmgUZDgNO0gkQ6KzxjKAbaTKRf-v20OeeK975OWlItGoFg1Lc-jCDFgIabQIM7dVr_A5yk0YTgJ8mnwk1WHYWntS9Uq41_pVGijdh57ZAmnoXvz8SqicTE_54Oee=w300-h225-p']",3 stars,3
Aulia Rahman Maulana,"There is no need to hope for tourist attractions that are not maintained. Entrance ticket 10k, there is electric bicycle rental 50k/hour, train car 20k. The culinary there is not delicious, it's expensive. The soto soup is really salty, the vermicelli is still hard, the price of soto is 15k, water is 5k, orange ice is 8k, total is 28k, right? So the seller calculated a total of 37k, if I don't detail each one, pay the 37k. Hadeuh, learn to count first, culinary team there","227 reviews · 3,017 photos",a year ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90DUQshYiLxzoL2r1oUJA9-frbsUptIt2ur60qDkeAp1g9hIX83jcja9oaU5vU3fcweafC-1GzvNC-t77Et6YSSgnrqUF3A2_1mEHWTyKjAxOJZ5g20d2qEmSKKn1uHc8YUcAASUyw=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90Ce8cPW2nFovRJ1Vp0Xn71A-YIlnLN192HRJ2xTQaICXrn36J3pbsD7zDqk3UW5_RW8YKoOzrarZHif7MatyAYUaOWWCNR6lKCyc6kDSjuhgTRxw-HhkNY7T3nmhBf7uRnHfmkp=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90AyglIlQNEXZDtzyi4P5IECO6xCgXX76dDU_K2QvT2YGK6r0SprEcdxNU-DfLBQAbEjzu2yaF6gP2C252eavclWkqng35NhnW22HX4s11LIjodY1mXIcamAxYi7UkSJ9Miv5D8NtQ=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90AJVwVWA7J63OyVFah5MIJznsEPxMnOzaj9EzbrfmnwkDunErxXJ2cqgVb7WMQ87sv2rIt6nGOEYJTGtDwXkNxr5rEvmvXbzW9-dbG9tcKVG9YUmMzV0m7W4uiMg9vPiQv6fali=w300-h225-p']",1 star,1
hdr25,"The tourist icon in Tenggarong Kukar... the place is spacious, lots of rides and lots of spots for taking photos with friends and family. Now it's less managed.. entrance fee per person is 15 thousand.. Kumala Island is quite wide so if you walk it takes hours.. you can rent a bicycle to get around the Kumala Island area, bicycle rental costs 35k per hour
The icon at the front of Kumala Island is the lembuswana statue...","Local Guide · 261 reviews · 3,379 photos",2 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90A6mfg9KYFFxMWcU12x-NqlOgCFFiBOkA3GNbiNViWsZK_db_imSEYdsin5MYeXc8ysrCsOTIJ-8EH9SzqHWD4jq45yYWK1wWlFfhUhdukdNxgonOGIcYHhEMY_-GJq5lDqArGL=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90CgEsoFBukRrUCMdOB_hQ0GWkRsHNbtJG6ui31Z7dKo5_cN2qGTB3EQmn5_qmt5k4NZthEV1Q3Cr5aRGH2nCDX_a-dUwImNwezxf-Bs1pkfCYdAR1-hbcg4d1gxL5UZZP6s1xWk8g=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90BfkKjl1ofhsx4PCUIkwlB7i84TM8Mir-moSpxzl99e95P1imIjP5ZVAzzNxZXMOtVDfgQs52alYfk1ftQT5MaRBeQGyvLZJGuy-9S9l-CdurJDxaVCtmCgbifjxwHsR9iGtVrc=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90Dc1lsbEaeh3fcnWA7eQ7TC5Liv8OQxe9rdFyd8iOOjOm360EOHBwNawJLIeZJAGJy0NwVji1cv-ZQZLtuN75RWWloAYKNDD62qY2kVCinsqcG0QChnIOXjihf_iCx_00BmoJKKHw=w300-h225-p']",5 stars,5
Dewi Annisa Mamaraffiyya,"I hope that in the future it will be better like in the past, sir (the late Syaukani) because I can't forget the beauty of Kumala Island when I was a teenager. This is a children's activity at the peak of the theme of getting to know Kumala Island more closely. Hopefully all facilities on Kumala Island can be maximized in the future.","Local Guide · 95 reviews · 1,531 photos",5 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90CTDg--L1sjm5KO-dJ4fvY7Bm20Yt0v7Ir0vJ8XXAYrNTGQMDJ1fdJR3dj6RnkTfcR_QH2VvhwvCkqpjOOjtHjMTZbvWclXxXcT8yMJRqsnAl37vk6yM1chzuQQD5fzqUtgpLU=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90DYW6fx6SsR53SNRGTScsqVkxqJsfDNeT9dGDhMvhw-cj0_uxB3HpRqArviJOtDaHltZwDZgz1B9aRApt5fsP9Yw-6ui9aW4zSdAN1IXkxtFMPxAt-qgNOQIxBdd3uhZlU2yO0_=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90B75VdAuZrL3eJuQ5YfCZOhluJNyfQROaF7kL05s8P7OECsavZgAz9178WlO1cSvT3i0rSsRD_KmpnPRJ6gVFULTCJ8OMvGIYEi10PJWsvNmXggShAzIaTa516dbAgMfFR53nhq=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90D0wJgWhe0kOnybR0IM6rvNMfFwviiemcNC4x0-bkZO0RnOjQgt5qT0Nn0_sMyW107GzsscpQpsITez5jYFpmYSt1dXIp93Aq7R0hNIuXAcKZgw4kJKx6-LMklRqewGfDwUZUVB=w300-h225-p']",4 stars,4
NURDIANTORO _,"It's a shame, the place is beautiful but neglected, there are lots of abandoned rides damaged and weeds everywhere, even though it is one of the tourist destinations in East Kalimantan",Local Guide · 25 reviews · 82 photos,a year ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90DNpfMvsW7ZHaMBTtzN8oViOA9HJcZ02oraCCJ8YHt-JYttu0I-WubHfStOupzUFVGaSHLJLwuTsxNBMkITBkGpFs8MGzQ9XDCpqV0iwHQyLXOoDCml6Afmc7ua9Jax1RUP6KAcpg=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90Aw9Vwp6Q9fVOf056MxgvnRlbNALzHz73tL_xvj2o2FuylIQb6vJFjjy4twzKq3mJi6H9ohcxBJgC_yWLWHqJI1JShxMVHkqwwTQo7AmIZXuOLmf-r7C0LQUxkbRvCfHb0PsFNY=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90C_xO_mrAWNyEQTHwzZXizUgj71q7qWf01ZjefO-6QxMz1xs6kV_9Bm9NBKp_69lzpsL5e829JXQDMGGcaAbyawNuyvTg0-7Y__zt0Kjfkor5_ZoRo1RaG4NOAjU-Q_kGoK41SFhw=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90D9-VGE17mwfNViUQBHzZm02ollv7wx_MVGzuNW4tlgfLHIcpvO_LAMNMbBB7k1rL_QYycn0o8IbEsf1unFdOBBnptzmLOGunybf_D3Ho4ZLGxoGauoAPQPqmP5T7IJlUrJzlOE=w300-h225-p']",2 stars,2
