name,review,contrib,humanized_timestamp,minires_images,stars.label,stars.value
Seto Danu,"This is actually an interesting place to visit because basically this is an island in the meddle of huge river.  in the past, you can reach this place by using sky train that cross the entire one side of the river for a hill from afar. Unfortunately maybe it is true that it is a bit lack or general service and maybe the location of this destination is far from main city so people need to plan if they just want to visit this one. either way, surrounding this island, you can find other historical palace as well. So, this island can be a good bonus to explore this area.","Local Guide · 296 reviews · 4,280 photos",4 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90Cjo4e6bkhfNAf5023u0ET_QNafXyL5-QkzfCubZZ8qgjbCzVFg4JlS17xB0n7BX60_gUH7Aj6LiyYvtooq_lsonefxvMw4RU8y_lL03zBY5JlG8mLqHh1OV0uFE7iaX2Lv1RWn=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90A-LwOja2kLs0GLKW-31MFydEUNqNfzMXEGyT3GXax7bHjNsMn-M2HPRrYBws2B3JCLmY1l1afqlilR99u6cx8lhe5Uxklhlxm15lJ-j36ZPsfQQeAxHFBN0XgFpI2Wr5oJDmUY=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90CWTEhJLZFpVweb4Rilbo9dlxwRGTlbrkJdgNxNy9nMX6tQzEcsa0UWgHDHc-LBvyCi0CwblIWe1Muqhu3cqE1_KW-uRnb5oQDFG2rdt12JmB9THPhUlNVFNvHtcrs_DYsaYElqww=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90Ch6iJRB-NuavFerEFRHma1NXuGEiyr-94giJ-S9sQiOT2Ut4yuvdKRRNvFIzwds5fk9RYc_J_2KC33uqxM22WoLD-PHNyph3Xch6GNMknra4-q66sh83_Te8UMdlqvIlmIUzTz=w300-h225-p']",4 stars,4
Icha Sumukti,Amazing 😍 …,Local Guide · 53 reviews · 65 photos,7 months ago,[no_minires_images],5 stars,5
Ade Junaidi,Magiciclly mitch,Local Guide · 128 reviews · 216 photos,6 years ago,[no_minires_images],4 stars,4
Lautra Islora,An interesting island to visit in the afternoon. The LembuSwana statue area & Kumala Island landmarks are the most interesting points photographically.,Local Guide · 216 reviews · 714 photos,a year ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90A9XekI5V6SEiErkJGszaDULsUDNW2Xjfp5UVX1geG17wl9YWs6RiALWhtztqLjhBXDmnKMChyeqxAclc4XXyaDIdG5irH_rdLqWcQqoXYxeMsE00-kD0yI1bhdtpFKAGUxmp7OWA=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90Dh_4mmy5H402NyJYLHwCndLnxKGBFrAna5pKTfab-1tM31A3ayDdQ0_ugPQ_ie-J65YAzaZgvmBb0b9503SuYe5yt3CsG5KhxXNUrxh05GhPmzPOlvBosYCulz449HzN2Z0YE=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90CG4PeDVwA_CYP0IUlzw-1VE4v2f1C4SP273j2zEvEUjSqSTTtVLzK9Ihkd6qiKblJajbmM76R_jGdvnCqTKtFN_m46FiAKYQvBfcj5ia1VdJG03iT_ccvjHajZsX1nclB6cNxu=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90C2aunJ4vCOhKVV37ZUHLqHTuMAz5Su_1XLUOPqc18wkzX0hOGvQEk5ybu91Xe5Cc2WAWeyJe-j_50w3XfYZYMzHBhqcVCw3fCZjW656gu1BW391205qaBrGfFd693T2m-4rnHA=w300-h225-p']",5 stars,5
maman kaya,"Very beautiful, big and majestic, the legend of East Kalimantan",2 reviews · 2 photos,4 months ago,[no_minires_images],4 stars,4
Haryo Mukti,It's a shame the place is poorly maintained,Local Guide · 103 reviews · 109 photos,4 years ago,['https://lh3.googleusercontent.com/geougc-cs/AB3l90DrbbmeuJUe_XXJl7--DNvN_oaWNxAYC0v2FIGIK1Fy9cNYuZDitSxjUxEAwH2tDz8fkoH_fOQ1xphr08qQ1tEtAKMeTr5EUey39bl50hc7zsVRTYwNVORkFUXuP4DGVBa21WU=w600-h450-p'],3 stars,3
Kurnia Setiawan,"This place is very interesting to be used as a tourist attraction..
However, its cleanliness must be improved.",7 reviews · 5 photos,5 years ago,[no_minires_images],4 stars,4
Tech Studio,"The city of kings, suitable for traveling with friends, family or girlfriends",Local Guide · 30 reviews · 51 photos,6 years ago,[no_minires_images],5 stars,5
Mata Angin Vlog,Including the historical part of the oldest kingdom in the archipelago.,Local Guide · 133 reviews · 141 photos,2 years ago,[no_minires_images],5 stars,5
Sukirno Sukirno,The legendary Tenggarong city icon.,Local Guide · 75 reviews · 2 photos,a year ago,[no_minires_images],5 stars,5
