name,review,contrib,humanized_timestamp,minires_images,stars.label,stars.value
Dearma Silalahi,Yuukkksss... You will get a beautiful moment here 🔥🔥🔥and you can also recreation with Fams 😍 not just with friends... …,Local Guide · 37 reviews · 73 photos,6 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90BawIzng2qgZZZR52IgE_ZIddhMCfgHovHnGyqbJheFLsLCsAND0p-jVjH-vyIBwzRxmPQw9hTvhUomUwHBfYnWJPWbv3z1bxaknq9Ll1KspsUkHpEpNQ1_c8I7XX9lAcKiIOvl=w300-h450-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90CzR8zmqySCpfExzF6vYl2EKb8hhHdh2bexrsolQmDjZFnuRrs72wY_hMEfnxbdbmdcQaTxJeGvQ4V8G4VWFf1WeW85nvpm7uYM2agfowT58GtNddHhUHuhVyQlWKsb9k6Kcwnd5A=w300-h450-p']",5 stars,5
Muhammad Taufiq,This place have a good view to take a picture,Local Guide · 54 reviews · 11 photos,5 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90DrHk9H61R5fPDz0gACt4g5BV9LfBYN6nitDaLvrgyrwYSXM_1CzAeNYBek2wfLm3DhOe5WzwAl4Xe255XOra8TvEq3L4cWdeot6zuWJxuHZOfT_TRm3sugEiD4K5fvBTC7CNk=w300-h450-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90BKGXHf5I9dFj1UVPPe427QrkP-lvKPu-1hSomD0UUvODSrTzENutN5NwMxLflmqU8lLvxpHyEKvDgagemTNvFR4mb7N7hJzhMxAEoRSACsvwJtT4jfgKchSOKbo8krUuZC1hE=w300-h450-p']",5 stars,5
Susanto Thomas,Its actually a good place but now it isn't used as its function and also many of facilities arr broken because there is no maintenance at all,Local Guide · 12 reviews · 40 photos,7 years ago,[no_minires_images],2 stars,2
Renata Munthe,Better if there is a flower park,Local Guide · 87 reviews · 49 photos,7 years ago,['https://lh3.googleusercontent.com/geougc-cs/AB3l90DX0wKTzJZ8GKQVofewckrD-orbZrRV7IhiR7GlBG2cd2P5H_iquwyFAVLIm6TxgVWeOx0qMrXO52BSIvMXy6faSwUehbMyz6QUkStlOKLwOtVy5xE7RUprlatuH7X-Xn_mzcey=w600-h450-p'],5 stars,5
Dippa Sentika,The Best view,Local Guide · 21 reviews · 12 photos,a year ago,[no_minires_images],5 stars,5
dewi lestari,Good,3 reviews,5 years ago,[no_minires_images],4 stars,4
Suzie Herlina (suzie herlina),Fascinating place,Local Guide · 42 reviews · 27 photos,6 years ago,[no_minires_images],5 stars,5
Arunayza,"First time here, not very satisfying because many places are not maintained, it's a shame, maybe it's under maintenance plan... the paint on the dragon statue has been updated",Local Guide · 19 reviews · 65 photos,a year ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90DbZVRQqbrwx62sCyWijq-7uE0Hz4_8hBkSMSdE7JjeljIH3H-Gq5F3atzb1eyfLv7UrfKMMVX_H24ZylPo1e9JH-VpOq80Wa0in42fTyk61qiW_93cKlv9_Oz_CPzpMlEUHTxEXg=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90CP5AOlGzRFuEPInF02wSBoUz-1DZPBqaJv3AcBmMn3tdE2S7FmwfLHZZAk-0ARyS6rEXOWKOm8SbDZgViEKtVdgZ9BCYv3ft2lokeIaZew0l9ewbYk0A5XBRZfZ_8yWnCalpfm=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90AoxYKwNzSwkY4pCxN1WARtZTfdbEYbVmrBJniqg1kVhOGMObeBfzX2xqcbiO-42A7uvtlslEZeeyBheLUlYGyeHT7Unp9-qQrjdmyN17Z7rUgIcnDUGTSfczBa3KC5SKztita42A=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90A-w0O6-CvSrsTQ9hLlmdCuzVpsthL-vj-VagNBhHHAYemQEYxqDuYvwQ-1zr9iV9WkWHwq5GiGJvjC_erV2Wkb7FNkDbmySmM77enwB9I0ygHwhHP8fx2z1J_wJcQmmcM6iyo=w300-h225-p']",5 stars,5
maria dk,"It would be very good if it became a well-maintained island. Went there during Eid al-Fitr, so the gate was still closed. Even though it is closed, there are boats ready to take you across the island. And his father also wants to wait, 1x 150,000 laps from the dragon pool to the lembuswana statue. Quite good at that price during the holidays. It's just a shame it's not maintained. So it seems scary. A mossy pool, clay grass that has been left alone, a statue whose paint has not been maintained. The uninhabited buildings add to the spookiness of the island.",Local Guide · 115 reviews · 68 photos,2 years ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90Al5HSJYof40vJaDKJnFl-xpoOccfWCHflu6u5yFgD-nJJFBWGrnR6gI_F4JOLpBckVKJMwZ3SljgJMTF9ypgc_4ZZA9CJxi5N1QZaLVhKSAiA_QgROJhQek9ZPvkfttiYk4ZV_=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90BpVmZCcwc2hKIRhWuscLZW5jnESpL5QLNXkC4pLmbyT11Zst7bEwKSeyjbK8lnlAmpFzfrduyWJkmgS2hLCj78I6nnVLpMSr7ldBpFd7C1TETI6sDgHl_c7_V6zD7BfQ0RpIbQ=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90BVaBtxICRboha04Dh9YzoUcHDrhNnNH7RENyoomkN60g3KjpgHyijV3GBfEzpvIShGHBiiTYejM0wEOg_yyrBSRDnoZOzcaMJTmGNPdytdVKGiX1IoCEvuGTAHMtujwHn_cHc1WQ=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90CBmN0Eb1R8Y9dWdoOsdCBQK7q8zWsbbxOWd8XeVdud3Fs2elSbbx1gBMrql-pMi6HugPmUUPrsFU1emJz4EkmBK4Ox-OVMsAiCQa-u5XX3ovRjxoh2L3ifn7rDcnTlPKYFSDgQ=w300-h225-p']",3 stars,3
Suryadi Fikran,A very good place to take photos.,Local Guide · 12 reviews · 23 photos,4 months ago,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90D6M4NfhrMWIdquE-lzwnz4BMHKR5WHjX1gftjiDTI-rcFJTP2SsA5lSymvuQfHigYol9czVPhFutWh9HjYQbeGdOTUch2HpARqsUvB1t3HHezhPM365Y8PYtKfiO-TXaSGhuVa=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90DUNtbwqZ_PeZdultIpuA1J06F04wL_M8J98iq3FeiKvv9dHN9ypITbtBZTwv376CZm_SHSN0BUziq33qMy1SAifis3tYpFgCF-dIkGAnxBQ2Rt007BEU0XiSl_bSh2xvr2C_1MVg=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90BX-87OGyQjl-sx1dn2tnfUVMknz5zdMxawDHkqUCxQ0u8SMytZN3G9FaGJcy8dbCAN8gFY4MlNhFSU3sWmjO3tP2f-RyNZL7Xm4-6aNqH-vlRZytkWP5VK44oPgI9SOPbAlMLZ=w300-h225-p', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90BbtTfM5-lbWL2I8aJHnE9ITKHYVfYGY6fw0oQtSZ2lSaXIKa3q6GjQa3aWSxj166R5ea7Pn2_njqrjZveP1AikDlipv9czfUjsRg2BS1j3uG6t9y8LiJuXgEcCEvX46iaM7Nhs=w300-h225-p']",5 stars,5
